field_name,dk_column_name,description,dataset,data_source,source_link,year
underground_tanks_ej_pctile,EJScreen - Percentile for Underground storage tanks - Percentile for Underground storage tanks - EJ Index,percentile for underground storage tanks ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
air_toxics_cancer_supp_pctile,EJScreen - Percentile for Air toxics cancer risk - Percentile for Air toxics cancer risk - Supplemental Index,percentile for  air toxics cancer risk supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
diesel_pm_supp_pctile,EJScreen - Percentile for Diesel particulate matter - Percentile for Diesel particulate matter - Supplemental Index,percentile for  diesel particulate matter supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
lead_paint_supp_pctile,EJScreen - Percentile for Lead Paint - Percentile for Lead Paint - Supplemental Index,percentile for lead paint supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
ozone_supp_pctile,EJScreen - Percentile for Ozone - Percentile for Ozone - Supplemental Index,percentile for ozone supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pm2_5_supp_pctile,EJScreen - Percentile for Particulate Matter 2.5 - Percentile for Particulate Matter 2.5 - Supplemental Index,percentile for particulate matter 2.5 supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
superfund_prox_supp_pctile,EJScreen - Percentile for Superfund proximity - Percentile for Superfund proximity - Supplemental Index,percentile for superfund proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
rmp_facility_supp_pctile,EJScreen - Percentile for RMP facility proximity - Percentile for RMP facility proximity - Supplemental Index,percentile for rmp facility proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
traffic_prox_supp_pctile,EJScreen - Percentile for Traffic proximity - Percentile for Traffic proximity - Supplemental Index,percentile for traffic proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
haz_waste_supp_pctile,EJScreen - Percentile for Hazardous waste proximity - Percentile for Hazardous waste proximity - Supplemental Index,percentile for hazardous waste proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
wastewater_supp_pctile,EJScreen - Percentile for Wastewater discharge - Percentile for Wastewater discharge - Supplemental Index,percentile for wastewater discharge supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
