geoid,geoid_year,state,county,state_fips_code,county_fips_code,total_cdfi_lending,med_mortgage_loan,med_property_value,med_sba_504_loan,med_sba_7a_loan,num_mortgage_loans,num_mortgage_denials,num_mortgages_origin,num_sba_504_loans,num_sba_7a_loans,pop_pct_2plus_races,pop_pct_white,pop_pct_black,pop_pct_american_indian,pop_pct_asian,pop_pct_native_hawaiian,pop_pct_other_race
12009069700,2020, Florida, Brevard County,12,9,5124833.0,195000.0,325000.0,222000.0,,124,18,60,1,,7.1,79.0,10.8,0.0,2.3,0.0,0.7
12009069904,2020, Florida, Brevard County,12,9,163016.6124795191,355000.0,535000.0,351000.0,1405300.0,457,69,237,1,3,9.0,86.3,0.6,0.1,2.5,0.0,1.6
12009069906,2020, Florida, Brevard County,12,9,63285.572414134396,145000.0,205000.0,,30000.0,39,5,22,,1,5.8,36.5,37.6,0.0,0.5,0.0,19.6
12009069907,2020, Florida, Brevard County,12,9,116234.4275858656,205000.0,355000.0,310000.0,25000.0,183,31,85,1,1,3.1,84.8,6.4,0.0,3.4,0.0,2.2
12009071100,2020, Florida, Brevard County,12,9,8094892.0,245000.0,455000.0,,5000000.0,243,46,114,,1,2.9,95.0,1.6,0.0,0.2,0.0,0.2
12009071335,2020, Florida, Brevard County,12,9,160949.0,235000.0,385000.0,945000.0,237000.0,381,51,191,1,2,7.5,72.0,11.0,2.4,5.3,0.0,1.8
12009071337,2020, Florida, Brevard County,12,9,61027.0,225000.0,305000.0,,,873,152,428,,,6.9,69.9,17.7,0.7,1.3,0.0,3.5
12009071342,2020, Florida, Brevard County,12,9,29167.666666666664,235000.0,335000.0,84000.0,292500.0,414,59,203,2,1,19.8,58.8,14.5,0.6,3.6,0.0,2.6
12009071344,2020, Florida, Brevard County,12,9,96787.99999999997,215000.0,325000.0,490000.0,124500.0,436,71,197,2,2,20.7,60.9,11.0,0.0,0.4,0.0,7.0
12009071354,2020, Florida, Brevard County,12,9,4329702.21836545,335000.0,525000.0,754000.0,230000.0,771,103,385,1,7,12.4,80.8,2.8,0.3,2.4,0.2,1.1
12009071700,2020, Florida, Brevard County,12,9,2284470.14964886,255000.0,515000.0,299500.0,350000.0,477,78,243,4,5,5.8,92.0,1.0,0.0,0.6,0.0,0.6
12009980100,2020, Florida, Brevard County,12,9,,,,,,,,,,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
12009990000,2020, Florida, Brevard County,12,9,,,,,,,,,,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
12011010201,2020, Florida, Broward County,12,11,16249.499999999998,195000.0,385000.0,666000.0,100000.0,158,32,68,1,1,0.9,68.3,7.7,0.0,0.0,0.0,23.1
12011010308,2020, Florida, Broward County,12,11,254515.0,255000.0,405000.0,778000.0,177500.0,232,39,118,1,2,7.2,77.2,12.5,0.0,0.5,0.0,2.6
12011010401,2020, Florida, Broward County,12,11,1783.0,315000.0,485000.0,2554000.0,325000.0,265,46,129,1,1,25.6,54.9,11.6,0.0,2.5,0.0,5.3
12011010402,2020, Florida, Broward County,12,11,39965.0,125000.0,195000.0,422000.0,486000.0,234,48,96,1,3,19.1,71.0,7.1,0.0,0.6,0.0,2.3
12011010603,2020, Florida, Broward County,12,11,36404.0,275000.0,675000.0,,260000.0,302,53,155,,2,9.2,61.5,12.1,0.0,16.3,0.0,1.0
12011010605,2020, Florida, Broward County,12,11,129023.99999999999,385000.0,705000.0,904000.0,300000.0,426,96,201,1,6,15.9,54.1,21.1,0.0,7.5,0.0,1.4
12011010615,2020, Florida, Broward County,12,11,31741.666666666664,335000.0,555000.0,,15000.0,219,51,106,,6,11.6,70.0,13.5,0.0,0.1,0.0,4.7
12011010701,2020, Florida, Broward County,12,11,84334.0,225000.0,305000.0,710000.0,975200.0,193,51,73,4,4,27.6,28.2,32.4,0.0,1.5,0.0,10.3
12011011000,2020, Florida, Broward County,12,11,59339.0,365000.0,575000.0,,,146,29,70,,,2.3,90.1,3.1,0.0,0.0,0.5,4.0
12011020211,2020, Florida, Broward County,12,11,7031.0,155000.0,375000.0,,,190,39,77,,,3.9,54.1,37.7,0.0,1.0,0.0,3.3
12011020213,2020, Florida, Broward County,12,11,30876.5,95000.0,155000.0,,80000.0,246,61,96,,1,13.5,51.7,25.2,0.0,3.0,0.0,6.6
12011020311,2020, Florida, Broward County,12,11,113163.0,395000.0,615000.0,541000.0,100000.0,198,30,76,1,14,15.8,51.9,22.9,1.5,4.0,0.0,3.9
12011020312,2020, Florida, Broward County,12,11,125746.0,255000.0,535000.0,92000.0,150000.0,214,46,95,1,7,13.9,51.2,23.5,0.0,2.9,0.0,8.6
