field_name,dk_column_name,description,dataset,data_source,source_link,year
ozone,EJScreen - Ozone - Ozone,ozone,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_cancer,EJScreen - Percentile for Air toxics cancer risk - Percentile for Air toxics cancer risk,percentile for  air toxics cancer risk,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_cancer,EJScreen - Percentile for Air toxics cancer risk - Percentile for Air toxics cancer risk - EJ Index,percentile for  air toxics cancer risk ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_dslpm,EJScreen - Percentile for Diesel particulate matter - Percentile for Diesel particulate matter - EJ Index,percentile for  diesel particulate matter ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_ldpnt,EJScreen - Percentile for Lead Paint - Percentile for Lead Paint - EJ Index,percentile for lead paint ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_ozone,EJScreen - Percentile for Ozone - Percentile for Ozone - EJ Index,percentile for ozone ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_pm25,EJScreen - Percentile for Particulate Matter 2.5 - Percentile for Particulate Matter 2.5 - EJ Index,percentile for particulate matter 2.5 ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_pnpl,EJScreen - Percentile for Superfund proximity - Percentile for Superfund proximity - EJ Index,percentile for superfund proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_prmp,EJScreen - Percentile for RMP facility proximity - Percentile for RMP facility proximity - EJ Index,percentile for rmp facility proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_ptraf,EJScreen - Percentile for Traffic proximity - Percentile for Traffic proximity - EJ Index,percentile for traffic proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
