Census Tract,County,Housing Units Count,Occupied,Owner occupied,Renter occupied,Vacant,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",For migrant workers,Other Vacant,$100 or less (contract),$100 to $149 (contract),$150 to $199 (contract),$200 to $249 (contract),$250 to $299 (contract),$300 to $349 (contract),$350 to $399 (contract),$400 to $449 (contract),$450 to $499 (contract),$500 to $549 (contract),$550 to $599 (contract),$600 to $649 (contract),$650 to $699 (contract),$700 to $749 (contract),$750 to $799 (contract),$800 to $899 (contract),$900 to $999 (contract),"$1,000 to $1,249 (contract)","$1,250 to $1,499 (contract)","$1,500 to $1,999 (contract)","$2,000 to $2,499 (contract)","$2,500 to $2,999 (contract)","$3,000 to $3,499 (contract)","$3,500 or more (contract)",No cash rent (contract),$100 or less (gross),$100 to $149 (gross),$150 to $199 (gross),$200 to $249 (gross),$250 to $299 (gross),$300 to $349 (gross),$350 to $399 (gross),$400 to $449 (gross),$450 to $499 (gross),$500 to $549 (gross),$550 to $599 (gross),$600 to $649 (gross),$650 to $699 (gross),$700 to $749 (gross),$750 to $799 (gross),$800 to $899 (gross),$900 to $999 (gross),"$1,000 to $1,249 (gross)","$1,250 to $1,499 (gross)","$1,500 to $1,999 (gross)","$2,000 to $2,499 (gross)","$2,500 to $2,999 (gross)","$3,000 to $3,499 (gross)","$3,500 or more (gross)",No cash gross rent (gross),10.0 percent or less,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed
12099008203,Palm Beach County,1651,1333,627,706,318,54,0,0,0,16,78,170,0,0,35,57,59,0,0,52,0,29,42,29,84,7,23,68,45,32,100,0,0,0,0,0,44,0,0,0,23,24,26,11,29,23,0,0,25,0,0,84,131,51,135,53,47,0,0,0,0,44,0,42,58,35,87,45,28,129,205,77
12099008301,Palm Beach County,787,765,316,449,22,14,0,0,0,8,0,0,0,0,0,32,12,22,38,150,28,63,43,0,0,4,22,0,7,10,0,18,0,0,0,0,0,0,0,0,0,0,0,32,12,0,76,16,22,75,68,20,63,29,18,0,18,0,0,0,0,0,0,109,51,22,63,21,20,22,120,21
12099008302,Palm Beach County,1109,973,521,452,136,0,0,0,0,13,13,110,0,7,0,32,71,0,16,0,0,31,7,63,0,45,14,50,65,41,5,0,0,0,0,0,5,0,0,0,7,0,0,0,0,71,32,16,0,31,12,35,23,39,139,32,10,0,0,0,0,5,34,84,12,13,49,10,11,52,175,12
12099980000,Palm Beach County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12099980100,Palm Beach County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12099980200,Palm Beach County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12099980400,Palm Beach County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12099980500,Palm Beach County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12099990000,Palm Beach County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12099990100,Palm Beach County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12101030101,Pasco County,1549,1275,907,368,274,86,0,26,29,101,0,32,0,0,0,18,0,0,0,8,0,0,0,0,28,0,0,0,49,176,68,21,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,8,0,0,0,28,0,0,37,224,41,12,0,0,0,0,0,0,18,16,113,108,9,65,28,11
12101030102,Pasco County,1674,1107,630,477,567,29,0,25,0,302,0,211,0,0,0,0,0,69,0,18,0,9,58,33,7,46,10,12,0,149,16,45,0,0,0,0,5,0,0,0,0,0,0,69,0,0,18,27,0,40,55,7,43,0,54,114,45,0,0,0,0,5,27,12,30,74,146,0,16,0,167,5
12101030202,Pasco County,2493,1382,1057,325,1111,26,11,185,35,756,0,98,0,0,0,0,0,0,0,0,0,0,10,21,0,40,0,80,21,37,0,78,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,40,55,73,0,78,0,0,0,0,38,0,18,68,26,32,0,17,40,86,38
12101030203,Pasco County,1371,915,595,320,456,33,0,17,4,359,0,43,0,0,0,0,0,7,0,0,0,0,1,11,0,177,31,20,59,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,73,18,208,7,0,0,0,0,0,7,0,0,0,161,12,40,9,39,45,14
12101030204,Pasco County,789,620,306,314,169,51,0,0,41,68,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,45,7,44,61,81,16,32,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,38,51,74,77,23,24,0,0,0,5,0,0,27,29,62,22,6,38,125,5
12101030205,Pasco County,1268,999,711,288,269,20,0,0,0,175,0,74,0,0,0,0,0,0,0,23,0,21,0,0,7,16,48,43,91,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,16,0,0,76,13,107,9,39,0,0,0,0,0,16,40,36,24,14,65,10,38,45,0
12101030303,Pasco County,2078,1578,1334,244,500,0,0,27,0,409,0,64,0,0,0,0,0,0,0,0,0,9,0,0,0,0,49,0,42,10,31,28,55,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13,36,52,0,40,19,55,20,0,0,0,0,31,66,13,0,7,36,91,0
12101030304,Pasco County,3783,2594,1587,1007,1189,52,0,54,133,735,0,215,0,0,0,6,12,0,0,0,25,7,28,0,47,36,136,183,268,100,71,33,45,0,0,0,10,0,0,0,6,0,0,12,0,18,0,7,7,5,31,43,187,277,163,76,112,17,0,28,8,10,27,18,17,129,137,59,82,108,403,27
12101030404,Pasco County,1585,1354,1025,329,231,0,0,0,0,183,0,48,0,0,0,0,0,0,0,0,31,0,0,0,70,0,11,157,6,10,0,35,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,31,0,0,0,70,0,20,154,0,36,9,0,0,0,9,0,31,0,9,148,0,57,39,36,9
12101030405,Pasco County,1153,910,609,301,243,0,0,38,0,115,0,90,0,0,0,0,0,0,0,0,0,0,0,0,5,12,2,22,82,128,0,20,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,111,115,28,0,6,0,0,24,0,0,35,12,45,39,61,28,41,40
12101030406,Pasco County,1675,1253,935,318,422,79,0,25,63,182,0,73,0,0,0,0,0,0,0,0,0,46,0,18,10,14,0,44,26,129,24,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,27,17,0,10,0,24,19,55,55,104,0,0,0,0,7,10,17,15,67,19,22,22,100,39,7
12101030407,Pasco County,1417,1076,693,383,341,0,0,38,0,175,0,128,0,6,0,0,7,0,7,0,0,0,0,14,0,0,5,19,205,79,22,9,0,0,0,0,10,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,14,5,183,119,32,0,0,0,0,10,12,8,5,22,71,27,14,152,38,34
12101030408,Pasco County,1842,1332,660,672,510,98,0,0,26,220,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,237,52,251,81,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,33,447,50,96,0,0,0,0,4,16,5,30,18,104,57,79,112,247,4
12101030409,Pasco County,1467,1117,750,367,350,0,0,29,0,212,0,109,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,62,17,179,68,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,82,155,73,0,0,0,0,24,0,0,25,37,88,28,16,0,149,24
12101030410,Pasco County,1827,919,587,332,908,70,0,0,0,802,0,36,0,0,0,0,0,0,0,0,25,37,0,49,30,0,0,32,47,47,11,0,37,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,37,39,10,68,10,65,49,0,37,0,0,0,17,0,10,37,20,0,73,0,10,135,47
12101030411,Pasco County,1676,1381,936,445,295,0,0,35,29,88,0,143,0,0,0,0,0,0,0,0,0,0,11,0,0,22,24,27,90,113,26,41,47,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,45,35,192,46,72,0,0,0,44,0,27,63,54,50,41,10,64,92,44
12101030412,Pasco County,1531,1235,584,651,296,0,0,71,0,125,0,100,0,0,0,0,0,53,0,0,0,0,0,0,0,0,12,87,279,180,24,8,0,0,0,0,8,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,12,0,417,132,21,8,0,0,0,8,9,0,66,40,9,128,37,115,128,119
12101030501,Pasco County,1142,797,531,266,345,10,0,17,12,259,12,35,0,0,0,7,0,0,0,0,0,0,16,15,6,15,14,17,102,25,26,0,4,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,13,8,10,28,13,99,39,26,4,0,0,0,19,3,0,7,17,43,60,0,32,85,19
12101030502,Pasco County,2354,1940,1239,701,414,77,0,23,0,159,0,155,0,0,0,7,0,0,0,0,24,0,0,0,7,0,64,94,174,201,78,10,0,0,0,0,42,0,0,0,0,0,7,0,0,0,0,0,0,0,24,0,47,50,300,164,67,0,0,0,0,42,0,67,29,76,83,37,0,84,283,42
12101030601,Pasco County,1406,945,532,413,461,33,0,23,0,255,0,150,0,0,0,7,22,16,16,0,8,0,0,0,0,0,6,47,75,169,12,16,0,0,0,0,19,0,0,0,0,0,7,15,17,8,0,0,0,22,0,0,14,17,107,152,35,0,0,0,0,19,22,0,59,60,82,56,0,29,86,19
