COUNTY,Geography,Occupation,Median Hourly Wage (2023 $),Maximum Affordable Rent (30% of Income),2023 HUD 2BR Fair Market Rent,"% Income Needed for 2 BR, Median Wage Worker",# of Workers in 2022,Annual Wage as a % AMI for a Family of 3,Datasource,Report Name,URL
Baker County,"Baker County, FL HUD Metro FMR Area",Medical Assistants,18.85,980,882,0.27,5520,0.51,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Mental Health and Substance Abuse Social Workers,24,1248,882,0.21,460,0.64,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Middle School Teachers, Except Special and Career/Technical Education",32.3,1679,882,0.16,2690,0.87,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Nursing Assistants,16.09,837,882,0.32,6810,0.43,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Office Clerks, General",18.84,980,882,0.27,13260,0.51,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Painters, Construction and Maintenance",19.21,999,882,0.26,1490,0.52,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Paralegals and Legal Assistants,27.21,1415,882,0.19,2210,0.73,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Paramedics,24.23,1260,882,0.21,330,0.65,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Pharmacy Technicians,19.01,988,882,0.27,2540,0.51,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Plumbers, Pipefitters, and Steamfitters",24.63,1281,882,0.21,2760,0.66,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
